Object ID,Compound,Pathways of compound,Ontology - direct parents of entity,Ontology - direct parents of entity,Ontology - direct parents of entity,Ontology - direct parents of entity,Ontology - direct parents of entity,Ontology - direct parents of entity
KDO-8P,3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate,CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis // superpathway of Kdo<sub>2</sub>-lipid A biosynthesis // superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis,CMP-3-deoxy-D-<I>manno</I>-octulosonate Biosynthesis // Fatty Acid and Lipid Biosynthesis // Superpathways // Lipopolysaccharide Biosynthesis,CMP-sugar Biosynthesis // Biosynthesis // Pathways // Cell Structure Biosynthesis // Glycan Pathways,Sugar Nucleotide Biosynthesis // Pathways // All Pathways and Reactions // Biosynthesis,Sugar Biosynthesis // All Pathways and Reactions // FRAMES // Pathways,Carbohydrate Biosynthesis // FRAMES // THINGS // All Pathways and Reactions,Biosynthesis // THINGS //  // FRAMES
BISOHMYR-GLC,lipid A disaccharide (<i>E. coli</i>),lipid IV<sub>A</sub> biosynthesis (<i>E. coli</i>) // superpathway of Kdo<sub>2</sub>-lipid A biosynthesis // superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis,Lipid IV<sub>A</sub> Biosynthesis // Fatty Acid and Lipid Biosynthesis // Superpathways // Lipopolysaccharide Biosynthesis,Fatty Acid and Lipid Biosynthesis // Lipopolysaccharide Biosynthesis // Biosynthesis // Pathways // Cell Structure Biosynthesis // Glycan Pathways,Biosynthesis // Cell Structure Biosynthesis // Glycan Pathways // Pathways // All Pathways and Reactions,Pathways // Biosynthesis // All Pathways and Reactions // FRAMES,All Pathways and Reactions // Pathways // FRAMES // THINGS,FRAMES // All Pathways and Reactions // THINGS // 
BISOHMYR-GLUCOSAMINYL-1P,lipid X (<i>E. coli</i>),lipid IV<sub>A</sub> biosynthesis (<i>E. coli</i>) // superpathway of Kdo<sub>2</sub>-lipid A biosynthesis // superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis,Lipid IV<sub>A</sub> Biosynthesis // Fatty Acid and Lipid Biosynthesis // Superpathways // Lipopolysaccharide Biosynthesis,Fatty Acid and Lipid Biosynthesis // Lipopolysaccharide Biosynthesis // Biosynthesis // Pathways // Cell Structure Biosynthesis // Glycan Pathways,Biosynthesis // Cell Structure Biosynthesis // Glycan Pathways // Pathways // All Pathways and Reactions,Pathways // Biosynthesis // All Pathways and Reactions // FRAMES,All Pathways and Reactions // Pathways // FRAMES // THINGS,FRAMES // All Pathways and Reactions // THINGS // 
MALONYL-COA,malonyl-CoA,biotin-carboxyl carrier protein assembly // fatty acid biosynthesis initiation (type II) // superpathway of fatty acid biosynthesis initiation // superpathway of fatty acid biosynthesis I (E. coli),Fatty Acid and Lipid Biosynthesis // Fatty Acid Biosynthesis Initiation // Superpathways // Fatty Acid Biosynthesis,Biosynthesis // Fatty Acid Biosynthesis // Pathways // Fatty Acid and Lipid Biosynthesis,Pathways // Fatty Acid and Lipid Biosynthesis // All Pathways and Reactions // Biosynthesis,All Pathways and Reactions // Biosynthesis // FRAMES // Pathways,FRAMES // Pathways // THINGS // All Pathways and Reactions,THINGS // All Pathways and Reactions //  // FRAMES
CPD-12454,malonyl-CoA methyl ester,,,,,,,
5-10-METHENYL-THF,"5,10-methenyltetrahydrofolate mono-L-glutamate",,,,,,,
METHYLENE-THF,"5,10-methylenetetrahydropteroyl mono-L-glutamate",,,,,,,
CPD-3,molybdate,molybdenum cofactor biosynthesis,Molybdenum-Containing Cofactor Biosynthesis,Enzyme Cofactor Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",Biosynthesis,Pathways,All Pathways and Reactions
CPD-4,molybdopterin,molybdopterin biosynthesis // bis(guanylyl molybdenum cofactor) biosynthesis // molybdenum cofactor biosynthesis,Molybdenum-Containing Cofactor Biosynthesis,Enzyme Cofactor Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",Biosynthesis,Pathways,All Pathways and Reactions
CPD-8122,molybdopterin adenine dinucleotide,molybdenum cofactor biosynthesis,Molybdenum-Containing Cofactor Biosynthesis,Enzyme Cofactor Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",Biosynthesis,Pathways,All Pathways and Reactions
REDUCED-MENAQUINONE,menaquinol-<i>8</i>,menaquinol-8 biosynthesis // superpathway of chorismate metabolism // superpathway of menaquinol-8 biosynthesis I,Menaquinol Biosynthesis // Superpathways,Quinol and Quinone Biosynthesis // Pathways,Electron Carrier Biosynthesis // All Pathways and Reactions,Carrier Biosynthesis // FRAMES,"Cofactor, Carrier, and Vitamin Biosynthesis // THINGS",Biosynthesis // 
CPD-9728,menaquinone-<i>8</i>,,,,,,,
METHYL-GLYOXAL,methylglyoxal,methylglyoxal degradation IV // L-threonine degradation III (to methylglyoxal) // superpathway of L-threonine metabolism // methylglyoxal degradation III // methylglyoxal degradation I // superpathway of methylglyoxal degradation,Methylglyoxal Detoxification // Superpathways // L-threonine Degradation // Aldehyde Degradation,Aldehyde Degradation // Detoxification // Pathways // Proteinogenic Amino Acid Degradation // Degradation/Utilization/Assimilation,Degradation/Utilization/Assimilation // Pathways // All Pathways and Reactions // Amino Acid Degradation,Pathways // All Pathways and Reactions // FRAMES // Degradation/Utilization/Assimilation,All Pathways and Reactions // FRAMES // THINGS // Pathways,FRAMES // THINGS //  // All Pathways and Reactions
NA+,Na<SUP>+</SUP>,,,,,,,
NAD,NAD<sup>+</sup>,"NAD salvage pathway IV (from nicotinamide riboside) // NAD <i>de novo</i> biosynthesis I // aspartate superpathway // sulfoquinovose degradation I // uracil degradation III // D-gulosides conversion to D-glucosides // L-lysine degradation I // L-threonine degradation II // methylglyoxal degradation III // L-threonine degradation III (to methylglyoxal) // <i>cis</i>-vaccenate biosynthesis // UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose) // colanic acid building blocks biosynthesis // proline degradation // palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate) // 8-amino-7-oxononanoate biosynthesis I // biotin biosynthesis I // (5Z)-dodecenoate biosynthesis I // superpathway of unsaturated fatty acids biosynthesis (<i>E. coli</i>) // oleate &beta;-oxidation // allantoin degradation IV (anaerobic) // L-lactaldehyde degradation (anaerobic) // L-ascorbate degradation II (bacterial, aerobic) // pyruvate fermentation to (<i>R</i>)-lactate // glycerol degradation V // cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate // phenylacetate degradation I (aerobic) // palmitate biosynthesis II (type II fatty acid synthase) // glycine betaine biosynthesis I (Gram-negative bacteria) // fatty acid elongation -- saturated // superpathway of fatty acid biosynthesis I (E. coli) // NADH to cytochrome <i>bd</i> oxidase electron transfer I // NADH to cytochrome <i>bo</i> oxidase electron transfer I // NADH to trimethylamine <i>N</i>-oxide electron transfer // NADH to hydrogen peroxide electron transfer // NADH to fumarate electron transfer // nitrate reduction VIII (dissimilatory) // NADH to dimethyl sulfoxide electron transfer // nitrate reduction VIIIb (dissimilatory) // NADH to cytochrome <i>bd</i> oxidase electron transfer II // NADH to cytochrome <i>bo</i> oxidase electron transfer II // L-galactonate degradation // glycine degradation // folate transformations III (<i>E. coli</i>) // glycine cleavage // D-malate degradation // pyruvate decarboxylation to acetyl CoA I // UDP-<i>N</i>-acetyl-&alpha;-D-mannosaminouronate biosynthesis // Superpathway of UDP-N-acetyl-&alpha;-D-mannosaminouronate biosynthesis // superpathway of enterobacterial common antigen biosynthesis // L-arginine degradation II (AST pathway) // polymyxin resistance // adenosine nucleotides degradation II // guanosine nucleotides degradation III // galactitol degradation // pyruvate fermentation to ethanol I // ethanolamine utilization // 2-deoxy-&alpha;-D-ribose 1-phosphate degradation // superpathway of pyrimidine deoxyribonucleosides degradation // superpathway of purine deoxyribonucleosides degradation // 2-hydroxypenta-2,4-dienoate degradation // L-threonine degradation IV // superpathway of L-threonine metabolism // ethanol degradation I // D-galacturonate degradation I // D-fructuronate degradation // superpathway of &beta;-D-glucuronosides degradation // superpathway of hexuronide and hexuronate degradation // 4-aminobutanoate degradation I // superpathway of 4-aminobutanoate degradation // 2,3-dihydroxybenzoate biosynthesis // enterobactin biosynthesis // phenylethylamine degradation I // superpathway of phenylethylamine degradation // NAD salvage pathway II (PNC IV cycle) // NAD salvage pathway I (PNC VI cycle) // pyridoxal 5'-phosphate biosynthesis I // superpathway of pyridoxal 5'-phosphate biosynthesis and salvage // D-sorbitol degradation II // putrescine degradation I // superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation // superpathway of ornithine degradation // superpathway of L-arginine and L-ornithine degradation // 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate // 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation // mannitol degradation I // D-arabinose degradation II // ethylene glycol degradation // superpathway of glycol metabolism and degradation // siroheme biosynthesis // NAD phosphorylation and dephosphorylation // guanosine ribonucleotides <i>de novo</i> biosynthesis // superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II // superpathway of purine nucleotides <i>de novo</i> biosynthesis II // L-lactaldehyde degradation (aerobic) // superpathway of methylglyoxal degradation // methylglyoxal degradation IV // superpathway of fucose and rhamnose degradation // glycolysis I (from glucose 6-phosphate) // superpathway of glycolysis and the Entner-Doudoroff pathway // glycolysis II (from fructose 6-phosphate) // superpathway of hexitol degradation (bacteria) // L-tyrosine biosynthesis I // superpathway of L-tyrosine biosynthesis // superpathway of aromatic amino acid biosynthesis // superpathway of chorismate metabolism // L-serine biosynthesis // superpathway of L-serine and glycine biosynthesis I // superpathway of sulfate assimilation and cysteine biosynthesis // fatty acid &beta;-oxidation I (generic) // mixed acid fermentation // gluconeogenesis I // glyoxylate cycle // L-leucine biosynthesis // superpathway of branched chain amino acid biosynthesis // L-histidine biosynthesis // superpathway of histidine, purine, and pyrimidine biosynthesis // 2-oxoglutarate decarboxylation to succinyl-CoA // TCA cycle I (prokaryotic) // superpathway of glyoxylate bypass and TCA // superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass","NAD Biosynthesis // Superpathways // Sulfoquinovose Degradation // Uracil Degradation // Carbohydrate Degradation // L-lysine Degradation // L-threonine Degradation // Methylglyoxal Detoxification // Unsaturated Fatty Acid Biosynthesis // UDP-sugar Biosynthesis // Carbohydrate Biosynthesis // L-proline Degradation // Palmitoleate Biosynthesis // 8-Amino-7-oxononanoate Biosynthesis // Biotin Biosynthesis // (5Z)-dodecenoate Biosynthesis // Fatty Acid Degradation // Allantoin Degradation // Lactaldehyde Degradation // L-Ascorbate Degradation // Pyruvate Fermentation to Lactate // Glycerol Degradation // Phenolic Compound Degradation // Phenylacetate Degradation // Palmitate Biosynthesis // Betaine Biosynthesis // Fatty Acid Biosynthesis // Aerobic Respiration // Electron Transfer Chains // Anaerobic Respiration // Nitrate Reduction // Aldonic Acid Degradation // Glycine Degradation // Folate Transformations // Carboxylic Acid Degradation // Acetyl-CoA Biosynthesis // Polysaccharide Biosynthesis // L-arginine Degradation // Antibiotic Resistance // Lipopolysaccharide Biosynthesis // Adenosine Nucleotide Degradation // Guanosine Nucleotide Degradation // Alditol Degradation // Pyruvate Fermentation to Ethanol // Amide, Amidine, Amine, and Polyamine Degradation // Sugar Derivative Degradation // Pyrimidine Nucleotide Degradation // Nucleoside and Nucleotide Degradation // Ethanol Degradation // D-Galacturonate Degradation // Uronic Acid Degradation // D-Glucuronate Degradation // 4-Aminobutanoate Degradation // Aromatic Compound Biosynthesis // Siderophore and Metallophore Biosynthesis // Phenylethylamine Degradation // Vitamin B<sub>6</sub> Biosynthesis // Putrescine Degradation // Aromatic Compound Degradation // mannitol degradation // D-arabinose Degradation // Alcohol Degradation // Porphyrin Compound Biosynthesis // NAD Metabolism // Purine Riboucleotide <i>De Novo</i> Biosynthesis // Purine Nucleotide <i>De Novo</i> Biosynthesis // Aldehyde Degradation // Glycolysis // Generation of Precursor Metabolites and Energy // L-tyrosine Biosynthesis // Proteinogenic Amino Acid Biosynthesis // L-serine Biosynthesis // Amino Acid Biosynthesis // Sulfur Compound Metabolism // Fermentation to Short-Chain Fatty Acids // Gluconeogenesis // L-leucine Biosynthesis // L-histidine Biosynthesis // Respiration // TCA cycle","Enzyme Cofactor Biosynthesis // NAD Metabolism // Pathways // Carbohydrate Degradation // Pyrimidine Nucleobase Degradation // Degradation/Utilization/Assimilation // Proteinogenic Amino Acid Degradation // Aldehyde Degradation // Detoxification // Fatty Acid Biosynthesis // Sugar Nucleotide Biosynthesis // Biosynthesis // Unsaturated Fatty Acid Biosynthesis // Other Biosynthesis // Fatty Acid and Lipid Degradation // Amide, Amidine, Amine, and Polyamine Degradation // Carboxylic Acid Degradation // Fermentation to Lactate // Fermentation of Pyruvate // Alditol Degradation // Aromatic Compound Degradation // Phenolic Compound Degradation // Organic Solute Biosynthesis // Amide, Amidine, Amine, and Polyamine Biosynthesis // Fatty Acid and Lipid Biosynthesis // Respiration // Generation of Precursor Metabolites and Energy // Nitrogen Compound Metabolism // Folate Biosynthesis // Carbohydrate Biosynthesis // Glycan Pathways // Cell Structure Biosynthesis // Purine Nucleotide Degradation // Alcohol Degradation // Fermentation to Alcohols // Sugar Degradation // Nucleoside and Nucleotide Degradation // Uronic Acid Degradation // Secondary Metabolite Biosynthesis // Vitamin Biosynthesis // Tetrapyrrole Biosynthesis // Electron Carrier Biosynthesis // Purine Nucleotide <i>De Novo</i> Biosynthesis // Purine Nucleotide Biosynthesis // Proteinogenic Amino Acid Biosynthesis // Amino Acid Biosynthesis // Inorganic Nutrient Metabolism // Fermentation // Sugar Biosynthesis","Cofactor, Carrier, and Vitamin Biosynthesis // Electron Carrier Biosynthesis // Enzyme Cofactor Biosynthesis // All Pathways and Reactions // Degradation/Utilization/Assimilation // Pyrimidine Nucleotide Degradation // Pathways // Amino Acid Degradation // Fatty Acid and Lipid Biosynthesis // Sugar Biosynthesis // Fatty Acid Biosynthesis // Biosynthesis // Fermentation to Short-Chain Fatty Acids // Fermentation // Alcohol Degradation // Carbohydrate Degradation // Aromatic Compound Degradation // Metabolic Regulator Biosynthesis // Generation of Precursor Metabolites and Energy // Inorganic Nutrient Metabolism // Single Carbon Carrier Biosynthesis // Vitamin Biosynthesis // Nucleoside and Nucleotide Degradation // Carboxylic Acid Degradation // Sugar Degradation // Carrier Biosynthesis // Purine Nucleotide Biosynthesis // Nucleoside and Nucleotide Biosynthesis // Amino Acid Biosynthesis // Carbohydrate Biosynthesis","Biosynthesis // Carrier Biosynthesis // Cofactor, Carrier, and Vitamin Biosynthesis // FRAMES // Pathways // Nucleoside and Nucleotide Degradation // All Pathways and Reactions // Degradation/Utilization/Assimilation // Carbohydrate Biosynthesis // Fatty Acid and Lipid Biosynthesis // Fermentation // Generation of Precursor Metabolites and Energy // Carbohydrate Degradation // Nucleoside and Nucleotide Biosynthesis","Pathways // Cofactor, Carrier, and Vitamin Biosynthesis // Biosynthesis // THINGS // All Pathways and Reactions // Degradation/Utilization/Assimilation // FRAMES // Generation of Precursor Metabolites and Energy",All Pathways and Reactions // Biosynthesis // Pathways //  // FRAMES // THINGS
NADH,NADH,"L-tyrosine biosynthesis I // superpathway of L-tyrosine biosynthesis // superpathway of aromatic amino acid biosynthesis // L-lactaldehyde degradation (aerobic) // methylglyoxal degradation IV // guanosine ribonucleotides <i>de novo</i> biosynthesis // superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II // superpathway of purine nucleotides <i>de novo</i> biosynthesis II // siroheme biosynthesis // D-arabinose degradation II // ethylene glycol degradation // superpathway of glycol metabolism and degradation // mannitol degradation I // phenylethylamine degradation I // 2,3-dihydroxybenzoate biosynthesis // enterobactin biosynthesis // superpathway of chorismate metabolism // UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose) // colanic acid building blocks biosynthesis // 4-aminobutanoate degradation I // superpathway of 4-aminobutanoate degradation // D-fructuronate degradation // superpathway of &beta;-D-glucuronosides degradation // D-galacturonate degradation I // superpathway of hexuronide and hexuronate degradation // 2-deoxy-&alpha;-D-ribose 1-phosphate degradation // superpathway of pyrimidine deoxyribonucleosides degradation // superpathway of purine deoxyribonucleosides degradation // 2-hydroxypenta-2,4-dienoate degradation // L-threonine degradation IV // glycolysis I (from glucose 6-phosphate) // superpathway of glycolysis and the Entner-Doudoroff pathway // glycolysis II (from fructose 6-phosphate) // gluconeogenesis I // glyoxylate cycle // polymyxin resistance // guanosine nucleotides degradation III // putrescine degradation I // superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation // superpathway of ornithine degradation // superpathway of L-arginine and L-ornithine degradation // L-galactonate degradation // L-arginine degradation II (AST pathway) // 2-oxoglutarate decarboxylation to succinyl-CoA // TCA cycle I (prokaryotic) // superpathway of glyoxylate bypass and TCA // fatty acid elongation -- saturated // UDP-<i>N</i>-acetyl-&alpha;-D-mannosaminouronate biosynthesis // Superpathway of UDP-N-acetyl-&alpha;-D-mannosaminouronate biosynthesis // superpathway of enterobacterial common antigen biosynthesis // glycine betaine biosynthesis I (Gram-negative bacteria) // pyruvate fermentation to ethanol I // ethanolamine utilization // ethanol degradation I // fatty acid &beta;-oxidation I (generic) // phenylacetate degradation I (aerobic) // superpathway of phenylethylamine degradation // adenosine nucleotides degradation II // glycerol degradation V // pyruvate fermentation to (<i>R</i>)-lactate // mixed acid fermentation // L-ascorbate degradation II (bacterial, aerobic) // pyruvate decarboxylation to acetyl CoA I // superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // L-lactaldehyde degradation (anaerobic) // superpathway of fucose and rhamnose degradation // allantoin degradation IV (anaerobic) // (5Z)-dodecenoate biosynthesis I // superpathway of fatty acid biosynthesis I (E. coli) // 8-amino-7-oxononanoate biosynthesis I // biotin biosynthesis I // D-sorbitol degradation II // proline degradation // glycine cleavage // glycine degradation // L-serine biosynthesis // superpathway of L-serine and glycine biosynthesis I // superpathway of sulfate assimilation and cysteine biosynthesis // <i>cis</i>-vaccenate biosynthesis // L-histidine biosynthesis // superpathway of histidine, purine, and pyrimidine biosynthesis // L-leucine biosynthesis // superpathway of branched chain amino acid biosynthesis // pyridoxal 5'-phosphate biosynthesis I // superpathway of pyridoxal 5'-phosphate biosynthesis and salvage // methylglyoxal degradation III // superpathway of methylglyoxal degradation // L-threonine degradation II // L-threonine degradation III (to methylglyoxal) // superpathway of L-threonine metabolism // palmitate biosynthesis II (type II fatty acid synthase) // galactitol degradation // superpathway of hexitol degradation (bacteria) // palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate) // superpathway of unsaturated fatty acids biosynthesis (<i>E. coli</i>) // L-lysine degradation I // D-gulosides conversion to D-glucosides // NAD phosphorylation and dephosphorylation // sulfoquinovose degradation I // folate transformations III (<i>E. coli</i>) // oleate &beta;-oxidation // D-malate degradation // uracil degradation III // nitrate reduction VIIIb (dissimilatory) // NADH to cytochrome <i>bd</i> oxidase electron transfer II // NADH to cytochrome <i>bo</i> oxidase electron transfer II // NADH to cytochrome <i>bd</i> oxidase electron transfer I // NADH to cytochrome <i>bo</i> oxidase electron transfer I // NADH to trimethylamine <i>N</i>-oxide electron transfer // NADH to hydrogen peroxide electron transfer // NADH to fumarate electron transfer // nitrate reduction VIII (dissimilatory) // NADH to dimethyl sulfoxide electron transfer // cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate // 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate // 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation","L-tyrosine Biosynthesis // Superpathways // Proteinogenic Amino Acid Biosynthesis // Lactaldehyde Degradation // Methylglyoxal Detoxification // Purine Riboucleotide <i>De Novo</i> Biosynthesis // Purine Nucleotide <i>De Novo</i> Biosynthesis // Porphyrin Compound Biosynthesis // D-arabinose Degradation // Alcohol Degradation // mannitol degradation // Phenylethylamine Degradation // Aromatic Compound Biosynthesis // Siderophore and Metallophore Biosynthesis // UDP-sugar Biosynthesis // Carbohydrate Biosynthesis // 4-Aminobutanoate Degradation // Uronic Acid Degradation // D-Glucuronate Degradation // D-Galacturonate Degradation // Sugar Derivative Degradation // Pyrimidine Nucleotide Degradation // Nucleoside and Nucleotide Degradation // Carboxylic Acid Degradation // L-threonine Degradation // Glycolysis // Generation of Precursor Metabolites and Energy // Gluconeogenesis // Antibiotic Resistance // Lipopolysaccharide Biosynthesis // Guanosine Nucleotide Degradation // Putrescine Degradation // L-arginine Degradation // Amide, Amidine, Amine, and Polyamine Degradation // Aldonic Acid Degradation // Respiration // TCA cycle // Fatty Acid Biosynthesis // Polysaccharide Biosynthesis // Betaine Biosynthesis // Pyruvate Fermentation to Ethanol // Ethanol Degradation // Fatty Acid Degradation // Phenylacetate Degradation // Phenolic Compound Degradation // Adenosine Nucleotide Degradation // Glycerol Degradation // Pyruvate Fermentation to Lactate // Fermentation to Short-Chain Fatty Acids // L-Ascorbate Degradation // Acetyl-CoA Biosynthesis // Allantoin Degradation // (5Z)-dodecenoate Biosynthesis // 8-Amino-7-oxononanoate Biosynthesis // Biotin Biosynthesis // Alditol Degradation // L-proline Degradation // Glycine Degradation // L-serine Biosynthesis // Amino Acid Biosynthesis // Sulfur Compound Metabolism // Unsaturated Fatty Acid Biosynthesis // L-histidine Biosynthesis // L-leucine Biosynthesis // Vitamin B<sub>6</sub> Biosynthesis // Aldehyde Degradation // Palmitate Biosynthesis // Palmitoleate Biosynthesis // L-lysine Degradation // Carbohydrate Degradation // NAD Metabolism // Sulfoquinovose Degradation // Folate Transformations // Uracil Degradation // Anaerobic Respiration // Electron Transfer Chains // Nitrate Reduction // Aerobic Respiration // Aromatic Compound Degradation","Proteinogenic Amino Acid Biosynthesis // Pathways // Amino Acid Biosynthesis // Aldehyde Degradation // Detoxification // Purine Nucleotide <i>De Novo</i> Biosynthesis // Purine Nucleotide Biosynthesis // Tetrapyrrole Biosynthesis // Sugar Degradation // Degradation/Utilization/Assimilation // Alditol Degradation // Amide, Amidine, Amine, and Polyamine Degradation // Phenolic Compound Degradation // Biosynthesis // Secondary Metabolite Biosynthesis // Sugar Nucleotide Biosynthesis // Carboxylic Acid Degradation // Uronic Acid Degradation // Nucleoside and Nucleotide Degradation // Proteinogenic Amino Acid Degradation // Generation of Precursor Metabolites and Energy // Sugar Biosynthesis // Cell Structure Biosynthesis // Glycan Pathways // Purine Nucleotide Degradation // Fatty Acid and Lipid Biosynthesis // Carbohydrate Biosynthesis // Organic Solute Biosynthesis // Amide, Amidine, Amine, and Polyamine Biosynthesis // Fermentation to Alcohols // Fermentation of Pyruvate // Alcohol Degradation // Fatty Acid and Lipid Degradation // Aromatic Compound Degradation // Fermentation to Lactate // Fermentation // Unsaturated Fatty Acid Biosynthesis // Other Biosynthesis // Enzyme Cofactor Biosynthesis // Carbohydrate Degradation // Inorganic Nutrient Metabolism // Fatty Acid Biosynthesis // Vitamin Biosynthesis // Electron Carrier Biosynthesis // Folate Biosynthesis // Pyrimidine Nucleobase Degradation // Respiration // Nitrogen Compound Metabolism","Amino Acid Biosynthesis // All Pathways and Reactions // Biosynthesis // Degradation/Utilization/Assimilation // Pathways // Purine Nucleotide Biosynthesis // Nucleoside and Nucleotide Biosynthesis // Carbohydrate Degradation // Alcohol Degradation // Aromatic Compound Degradation // Sugar Biosynthesis // Carboxylic Acid Degradation // Sugar Degradation // Amino Acid Degradation // Carbohydrate Biosynthesis // Nucleoside and Nucleotide Degradation // Metabolic Regulator Biosynthesis // Fermentation // Fermentation to Short-Chain Fatty Acids // Generation of Precursor Metabolites and Energy // Fatty Acid Biosynthesis // Cofactor, Carrier, and Vitamin Biosynthesis // Fatty Acid and Lipid Biosynthesis // Carrier Biosynthesis // Single Carbon Carrier Biosynthesis // Vitamin Biosynthesis // Pyrimidine Nucleotide Degradation // Inorganic Nutrient Metabolism","Biosynthesis // FRAMES // Pathways // All Pathways and Reactions // Nucleoside and Nucleotide Biosynthesis // Degradation/Utilization/Assimilation // Carbohydrate Biosynthesis // Carbohydrate Degradation // Generation of Precursor Metabolites and Energy // Fermentation // Fatty Acid and Lipid Biosynthesis // Cofactor, Carrier, and Vitamin Biosynthesis // Carrier Biosynthesis // Nucleoside and Nucleotide Degradation","Pathways // THINGS // All Pathways and Reactions // FRAMES // Biosynthesis // Degradation/Utilization/Assimilation // Generation of Precursor Metabolites and Energy // Cofactor, Carrier, and Vitamin Biosynthesis",All Pathways and Reactions //  // FRAMES // THINGS // Pathways // Biosynthesis
